Thematic Group,Tags Included,Rationale
Peace & Security,"Maintenance of Peace and Security, Political Events and Issues","Active conflict, peacekeeping, political crises"
Disarmament & Arms Control,"Disarmament and Military Questions, Nuclear Science, Space Sciences","Weapons treaties, nuclear non-proliferation, militarization of space"
Human Rights & Equality,"Human Rights, Discrimination, Women's Advancement, Persons with Disabilities, Special Groups","Civil/political rights, anti-discrimination, gender equality, vulnerable populations"
Refugees & Humanitarian Aid,"Protection of/Assistance to Refugees and Displaced Persons, Humanitarian Aid and Relief","Forced displacement, emergency response"
International Law & Governance,"International Law, Law of the Sea, General and National Law, Recommendations, Public Administration","Legal frameworks, UNCLOS, institutional governance"
Environment & Climate,"Environment, Pollution, Wildlife, Natural Resources and the Environment, Environmental Health, Land Forms and Ecosystems, Marine Resources, Water","Climate action, biodiversity, ocean/freshwater, pollution"
Economic Development & Finance,"Development, Development Finance, Economic Conditions, Public Finance, Monetary Issues, Banking and Investment, Resources (General), Trade Related Finance, Taxation","Aid, debt, fiscal policy, investment, monetary systems"
Trade & Commodities,"General International Trade and Trade Policy, Trade in Commodities, International Trade, Commodities","Trade rules, commodity markets, trade agreements"
Social Welfare & Labor,"Social Development, Welfare and Social Services, Special Categories of Workers, Skills Development","Social safety nets, labor rights, workforce development"
Health & Nutrition,"Disease Prevention and Control, Comprehensive Health Services, Diseases and Carriers of Diseases, Food and Nutrition","Global health, food security, disease response"
"Education, Culture & Communication","Educational Policy and Planning, Cultural Development, Culture, Educational Systems, Non-Formal Education, Language, Philosophy and Religion, Communication and Mass Media","Education access, cultural heritage, media, information"
"Science, Technology & Energy","Development and Transfer of Technology, Computer Science and Technology, Telecommunications, Science and Technology, Energy Resources, Transport Policy, Statistics","Digital divide, tech transfer, energy, infrastructure"
Political & Legal (General),"Political and Legal Questions, International Relations","Broadest UNBIS umbrella tags — applied to almost every resolution alongside more specific tags; acts as catch-all residual"
Untagged,No Tag,Resolutions the LLM could not classify
